signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2021-08-09,2021-08-10,BUY,液冷,,液冷,1.4942697619747283,1.4942697619747283,ENTRY_TOP1,1.0,1195406.185673039,,
2021-08-18,2021-08-19,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1140775.062783114,-0.04570088689909746,2.0
2021-08-26,2021-08-27,BUY,煤炭,,煤炭,1.2665372011166403,1.2665372011166403,ENTRY_TOP1,1.0,1140775.062783114,,
2021-09-06,2021-09-07,SWITCH,电网设备,煤炭,电网设备,1.2945568106960745,1.2945568106960745,STRONGER_RS20_MARGIN_2%,1.0,1338793.8492943759,,
2021-09-09,2021-09-10,SWITCH,建筑装饰,电网设备,建筑装饰,1.333989178553861,1.333989178553861,STRONGER_RS20_MARGIN_2%,1.0,1383439.9149005185,,
2021-09-22,2021-09-23,SWITCH,风电设备,建筑装饰,风电设备,1.3704857808246136,1.3704857808246136,STRONGER_RS20_MARGIN_2%,1.0,1329384.7481995649,,
2021-10-14,2021-10-15,SWITCH,食品饮料,风电设备,食品饮料,1.1651591226062605,1.1651591226062605,STRONGER_RS20_MARGIN_2%,1.0,1232057.6905220891,,
2021-10-20,2021-10-21,SWITCH,风电设备,食品饮料,风电设备,1.2659748446373882,1.2659748446373882,STRONGER_RS20_MARGIN_2%,1.0,1189330.05135143,,
2021-11-29,2021-11-30,SWITCH,稀土永磁,风电设备,稀土永磁,1.27686359366613,1.27686359366613,STRONGER_RS20_MARGIN_2%,1.0,1405268.0774127801,,
2021-12-07,2021-12-08,SWITCH,煤炭,稀土永磁,煤炭,1.1419613250599168,1.1419613250599168,STRONGER_RS20_MARGIN_2%,1.0,1349241.4069307903,,
2021-12-13,2021-12-14,SWITCH,食品饮料,煤炭,食品饮料,1.1977930595201585,1.1977930595201585,STRONGER_RS20_MARGIN_2%,1.0,1334326.1358519793,,
2021-12-29,2021-12-30,SELL,食品饮料,食品饮料,,,,DOUBLE_MA20_BREAK,0.0,1255080.9817069077,0.10020022584025035,0.0
2023-01-09,2023-01-10,BUY,网络安全,,网络安全,1.1289243953227615,1.1289243953227615,ENTRY_TOP1,1.0,1255080.9817069077,,
2023-02-07,2023-02-08,SWITCH,AIGC,网络安全,AIGC,1.244281793229643,1.244281793229643,STRONGER_RS20_MARGIN_2%,1.0,1370800.4678892202,,
2023-02-13,2023-02-14,SWITCH,CPO,AIGC,CPO,1.4027127303691993,1.4027127303691993,STRONGER_RS20_MARGIN_2%,1.0,1397534.923854641,,
2023-03-08,2023-03-09,SWITCH,商业航天,CPO,商业航天,1.1967934452761482,1.1967934452761482,STRONGER_RS20_MARGIN_2%,1.0,1447574.8296991833,,
2023-03-23,2023-03-24,SWITCH,CPO,商业航天,CPO,1.3522129710780018,1.3522129710780018,STRONGER_RS20_MARGIN_2%,1.0,1666488.6351135343,,
2023-04-03,2023-04-04,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_10%_PAUSE,0.0,2235930.855165208,0.7815032557694774,0.0
2023-04-04,2023-04-06,BUY,CPO,,CPO,1.8027773109885579,1.8027773109885579,ENTRY_TOP1,1.0,2235930.855165208,,
2023-04-18,2023-04-19,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_10%_PAUSE,0.0,2554170.8713539564,0.1423299899697632,0.0
2023-04-19,2023-04-20,BUY,CPO,,CPO,1.8501415574063385,1.8501415574063385,ENTRY_TOP1,1.0,2554170.8713539564,,
2023-04-27,2023-04-28,SELL,CPO,CPO,,,,DOUBLE_MA20_BREAK,0.0,2356488.1407074,-0.07739604772086583,1.0
2023-06-13,2023-06-14,BUY,CPO,,CPO,1.528656430598776,1.528656430598776,ENTRY_TOP1,1.0,2356488.1407074,,
2023-06-27,2023-06-28,SELL,CPO,CPO,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2458604.6484418,0.04333419123583848,0.0
2023-07-05,2023-07-06,BUY,汽车零部件,,汽车零部件,1.3312629867196677,1.3312629867196677,ENTRY_TOP1,1.0,2458604.6484418,,
2023-07-17,2023-07-18,SELL,汽车零部件,汽车零部件,,,,DOUBLE_MA20_BREAK,0.0,2382268.363386392,-0.031048621462498205,1.0
2023-07-25,2023-07-26,BUY,有色金属,,有色金属,1.1398128278493087,1.1398128278493087,ENTRY_TOP1,1.0,2382268.363386392,,
2023-07-31,2023-08-01,SWITCH,证券,有色金属,证券,1.169604406609915,1.169604406609915,STRONGER_RS20_MARGIN_2%,1.0,2466790.7089532567,,
2023-08-14,2023-08-15,SELL,证券,证券,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2437338.8498824607,0.023116827366076453,0.0
2024-03-15,2024-03-18,BUY,液冷,,液冷,1.4964485833793704,1.4964485833793704,ENTRY_TOP1,1.0,2437338.8498824607,,
2024-03-25,2024-03-26,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2366167.3058163235,-0.029200512710643167,1.0
2024-04-02,2024-04-03,BUY,低空经济,,低空经济,1.2960401695781594,1.2960401695781594,ENTRY_TOP1,1.0,2366167.3058163235,,
2024-04-16,2024-04-17,SELL,低空经济,低空经济,,,,DOUBLE_MA20_BREAK,0.0,2218591.418625105,-0.062369168413602516,2.0
2024-04-24,2024-04-25,BUY,低空经济,,低空经济,1.390424278944918,1.390424278944918,ENTRY_TOP1,1.0,2218591.418625105,,
2024-05-24,2024-05-27,SELL,低空经济,低空经济,,,,DOUBLE_MA20_BREAK,0.0,2194495.7851922023,-0.010860780056489716,3.0
