,open,prev,close,volume,time
sh600760,48.7,48.91,48.6,13716455.0,15:00:02
sh600795,5.31,5.31,5.27,79439170.0,15:00:03
sh600801,24.84,25.1,24.96,4646136.0,15:00:02
sh600808,2.64,2.67,2.63,49096000.0,15:00:03
sh600809,119.02,119.02,116.06,5985015.0,15:00:02
sh600827,7.93,7.96,8.01,16652700.0,15:00:03
sh600859,10.25,10.28,10.18,12380856.0,15:00:03
sh600879,14.33,14.46,14.56,64682673.0,15:00:02
sh600886,14.35,14.37,14.46,20476659.0,15:00:02
sh600893,40.9,41.37,41.71,35993461.0,15:00:03
sh600900,28.05,28.05,28.09,61551766.0,15:00:01
sh600938,34.77,34.18,34.42,44685884.0,15:00:01
sh601012,11.8,11.83,11.7,40222520.0,15:00:00
sh601018,3.54,3.55,3.54,52558599.0,15:00:04
sh601066,24.24,24.25,24.41,11239198.0,15:00:04
sh601088,47.36,47.33,47.28,20059700.0,15:00:03
sh601100,101.5,101.63,100.1,2194461.0,15:00:03
sh601111,5.86,5.9,5.85,37411901.0,15:00:04
sh601156,19.1,19.1,19.03,6142200.0,15:00:02
sh601186,6.13,6.14,6.16,38402717.0,15:00:03
sh601200,7.03,7.03,7.05,8812901.0,15:00:02
sh601211,17.51,17.52,17.74,59949310.0,15:00:03
sh601225,26.51,26.54,26.09,31174506.0,15:00:02
sh601231,25.11,25.38,27.92,37942449.0,15:00:04
sh601288,6.82,6.81,6.94,273840320.0,15:00:01
sh601298,9.47,9.46,9.51,11096690.0,15:00:03
sh601318,55.5,55.28,55.52,44435265.0,15:00:03
sh601319,7.91,7.9,7.94,63809978.0,15:00:03
sh601390,4.43,4.44,4.45,70214462.0,15:00:03
sh601398,8.02,8.0,8.1,209994090.0,15:00:00
sh601600,10.0,10.03,9.92,144698802.0,15:00:04
sh601601,33.43,33.43,33.63,24230599.0,15:00:03
sh601615,9.55,9.61,9.68,30841345.0,15:00:02
sh601628,38.11,38.15,38.28,22690463.0,15:00:02
sh601636,5.74,5.79,5.75,33772552.0,15:00:02
sh601668,4.38,4.39,4.39,119559104.0,15:00:02
sh601669,4.67,4.68,4.67,76429200.0,15:00:03
sh601688,19.3,19.32,19.52,37072709.0,15:00:04
sh601689,45.5,45.89,44.32,17113337.0,15:00:01
sh601698,24.08,24.26,24.29,15007193.0,15:00:02
sh601766,6.15,6.16,6.1,89261223.0,15:00:04
sh601800,6.02,6.02,6.02,20928939.0,15:00:00
sh601857,11.4,11.32,11.27,116843557.0,15:00:02
sh601872,21.41,20.99,20.58,215117637.0,15:00:02
sh601881,12.15,12.17,12.27,19331295.0,15:00:02
sh601888,53.52,53.74,52.58,20796930.0,15:00:03
sh601899,34.08,34.4,34.11,99820005.0,15:00:02
sh601919,16.56,16.54,16.38,60363207.0,15:00:02
sh601939,10.86,10.82,10.95,112691158.0,15:00:01
sh601952,10.28,10.28,9.91,75920769.0,15:00:03
sh601988,6.45,6.43,6.53,196226868.0,15:00:02
sh603019,82.1,82.43,82.35,12935071.0,15:00:02
sh603083,215.0,218.99,234.43,32436091.0,15:00:02
sh603128,5.76,5.76,5.65,42955481.0,15:00:01
sh603218,9.28,9.28,9.31,5629800.0,15:00:02
sh603259,154.15,154.88,154.5,25670806.0,15:00:02
sh603298,25.1,25.16,25.1,2984900.0,15:00:00
sh603369,30.56,30.41,29.54,7680209.0,15:00:04
sh603444,387.8,387.78,384.9,924480.0,15:00:02
sh603596,29.55,29.67,28.5,17090028.0,15:00:03
sh603605,60.1,60.3,58.48,4835400.0,15:00:02
sh603678,45.25,45.93,46.87,17298197.0,15:00:05
sh603809,8.7,8.7,8.62,4734445.0,15:00:02
sh603816,23.5,23.51,23.43,5593628.0,15:00:03
sh603833,30.7,30.81,30.27,2762900.0,15:00:03
sh603877,12.62,12.72,12.44,1628500.0,15:00:03
sh603983,33.81,33.81,33.7,4688300.0,15:00:05
sh603986,380.83,381.87,380.64,21520771.0,15:00:02
sh603993,19.04,19.09,19.01,109739379.0,15:00:02
sh688009,4.88,4.88,4.85,27720340.0,15:00:01
sh688012,330.9,333.0,334.19,8324517.0,15:00:02
sh688017,288.0,290.5,285.08,2879941.0,15:00:01
sh688041,232.0,235.8,232.37,13078701.0,15:00:03
sh688072,627.37,631.18,630.95,2157380.0,15:00:04
sh688077,27.28,27.33,26.77,1185715.0,15:00:00
sh688082,275.0,276.53,277.84,2370347.0,15:00:03
sh688111,230.22,231.69,227.72,3392357.0,15:00:04
sh688120,238.6,240.3,243.76,5487778.0,15:00:03
sh688223,4.02,4.04,3.97,61017742.0,15:00:04
sh688256,1049.0,1054.96,1043.84,5679008.0,15:00:01
sh688271,103.25,103.5,102.36,2388742.0,15:00:05
sh688347,223.85,224.0,224.11,7752667.0,15:00:03
sh688525,216.65,217.7,218.79,12885075.0,15:00:03
sh688561,26.58,26.85,27.1,7112016.0,15:00:00
sh688981,120.0,120.51,119.18,19151935.0,15:00:03
