signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2019-08-19,2019-08-20,BUY,PCB,,PCB,1.3625369079957483,1.3625369079957483,ENTRY_TOP1,1.0,570741.0232008201,,
2019-09-10,2019-09-11,SWITCH,储能,PCB,储能,1.2934843972045393,1.2934843972045393,STRONGER_RS20_MARGIN_4%,1.0,671184.402027256,,
2019-09-17,2019-09-18,SWITCH,PCB,储能,PCB,1.1870221729105628,1.1870221729105628,STRONGER_RS20_MARGIN_4%,1.0,650608.6589362199,,
2019-09-24,2019-09-25,SWITCH,光学光电子,PCB,光学光电子,1.3418056201421644,1.3418056201421644,STRONGER_RS20_MARGIN_4%,1.0,685146.0516132792,,
2019-09-30,2019-10-08,SELL,光学光电子,光学光电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,653071.1564112415,0.14425129763530742,0.0
2019-10-14,2019-10-15,BUY,消费电子,,消费电子,1.1632709080444503,1.1632709080444503,ENTRY_TOP1,1.0,653071.1564112415,,
2019-10-28,2019-10-29,SWITCH,农林牧渔,消费电子,农林牧渔,1.2393553358582132,1.2393553358582132,STRONGER_RS20_MARGIN_4%,1.0,658841.7035252904,,
2019-11-07,2019-11-08,SWITCH,消费电子,农林牧渔,消费电子,1.2012755102040817,1.2012755102040817,STRONGER_RS20_MARGIN_4%,1.0,650860.532535973,,
2019-11-20,2019-11-21,SELL,消费电子,消费电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,645487.4114556168,-0.011612432858463584,1.0
2019-12-06,2019-12-09,BUY,游戏,,游戏,1.2009844526570665,1.2009844526570665,ENTRY_TOP1,1.0,645487.4114556168,,
2019-12-16,2019-12-17,SWITCH,储能,游戏,储能,1.3333220676952193,1.3333220676952193,STRONGER_RS20_MARGIN_4%,1.0,673917.1708891533,,
2019-12-27,2019-12-30,SWITCH,传媒,储能,传媒,1.1809867416835917,1.1809867416835917,STRONGER_RS20_MARGIN_4%,1.0,688762.0873796496,,
2020-01-07,2020-01-08,SWITCH,农业种植,传媒,农业种植,1.4013062261762013,1.4013062261762013,STRONGER_RS20_MARGIN_4%,1.0,774691.3286142193,,
2020-01-23,2020-02-03,SELL,农业种植,农业种植,,,,DOUBLE_MA20_BREAK,0.0,606061.9281677376,-0.061078624599312015,2.0
2020-02-17,2020-02-18,BUY,商业航天,,商业航天,1.4524474882250298,1.4524474882250298,ENTRY_TOP1,1.0,606061.9281677376,,
2020-02-27,2020-02-28,SWITCH,云计算,商业航天,云计算,1.4236440725187554,1.4236440725187554,STRONGER_RS20_MARGIN_4%,1.0,558663.1466754496,,
2020-02-28,2020-03-02,SELL,云计算,云计算,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,549013.6710471457,-0.0941294189078361,3.0
2020-04-07,2020-04-08,BUY,农业种植,,农业种植,1.146329380377984,1.146329380377984,ENTRY_TOP1,1.0,549013.6710471457,,
2020-04-10,2020-04-13,SELL,农业种植,农业种植,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,526036.4386304936,-0.04185184017881949,4.0
2020-05-21,2020-05-22,BUY,社会服务,,社会服务,1.1587410980932686,1.1587410980932686,ENTRY_TOP1,1.0,526036.4386304936,,
2020-06-02,2020-06-03,SWITCH,商贸零售,社会服务,商贸零售,1.2385668511505972,1.2385668511505972,STRONGER_RS20_MARGIN_4%,1.0,534092.5405817686,,
2020-06-30,2020-07-01,SELL,商贸零售,商贸零售,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,733804.1752643944,0.3949683356058231,0.0
