rank,code,name,role,close_price,daily_return,relative20,relative5,trend,stability,extension,volume_price,volume_ratio20,up_down_volume_ratio10,volume_price_reasons,amount20,relative20_score,relative5_score,trend_score,stability_score,volume_price_score,score
11,002268,电科网安,网络安全,14.63,0.05555555555555558,0.050326648670719676,0.0591912841493103,0.5,0.13119533527696792,0.046831955922865154,50.0,3.742281306208594,2.1882071385619564,近10日上涨日均量/下跌日均量≥1.2 +20；明显放量且上影占振幅至少一半 -20,130789620.15,66.66666666666666,74.07407407407408,50.0,77.77777777777779,33.33333333333333,58.24074074074074
12,002439,启明星辰,网络安全,13.78,0.03609022556390973,0.0070577832081903935,0.04222370833476563,0.5,-0.05016722408026767,0.028473336567526264,50.0,2.9635058203314557,2.371726389658071,近10日上涨日均量/下跌日均量≥1.2 +20；明显放量且上影占振幅至少一半 -20,222473098.3,59.25925925925925,62.96296296296296,50.0,59.25925925925925,33.33333333333333,52.129629629629626
13,300370,安控科技,网络安全,2.18,-0.004566210045662045,-0.004805608772172287,-0.0025497065076600656,0.75,-0.06493506493506473,-0.02044484385531331,50.0,0.7474474245077057,1.140450771763317,未触发量价加减分（中性50分）,43829886.25,51.85185185185185,37.03703703703704,70.37037037037037,55.55555555555556,33.33333333333333,51.85185185185185
14,688004,博汇科技,网络安全,22.82,0.19978969505783395,-0.040032426692007905,0.07411787265730552,0.75,-0.0980113636363636,0.05105589203878136,50.0,0.6470788630019317,0.9170252805959359,未触发量价加减分（中性50分）,45640631.7,37.03703703703704,77.77777777777779,70.37037037037037,44.44444444444444,33.33333333333333,49.81481481481481
15,300921,南凌科技,网络安全,15.7,0.03562005277044844,-0.019453176358488533,0.0010865348221293925,0.25,-0.09463722397476353,0.005089465766140444,70.0,0.8531894810379362,1.2024978449348946,近10日上涨日均量/下跌日均量≥1.2 +20,105347544.05,48.148148148148145,44.44444444444444,27.77777777777778,48.148148148148145,77.77777777777779,48.61111111111111
16,688038,中科通达,网络安全,18.41,0.00766283524904221,-0.0009729588675739809,0.008629815650035955,0.5,-0.08196721311475451,-0.004111219301092595,50.0,0.6446641180867451,0.9014045864517568,未触发量价加减分（中性50分）,32752123.85,55.55555555555556,48.148148148148145,50.0,51.85185185185185,33.33333333333333,48.425925925925924
17,002368,太极股份,网络安全,13.69,0.034769463340891926,-0.02947819467056223,-0.0010311270905668524,0.0,-0.11942959001782535,-0.012051670635779721,70.0,1.1954857561598404,1.5660818722216867,近10日上涨日均量/下跌日均量≥1.2 +20,132100368.0,40.74074074074074,40.74074074074074,9.25925925925926,40.74074074074074,77.77777777777779,40.277777777777786
18,688318,财富趋势,网络安全,73.4,-0.010781671159029615,-0.08203115014227358,-0.13306736492431293,0.5,-0.17196904557179704,-0.09783123052624454,70.0,0.5890012310866676,2.164437386157498,近10日上涨日均量/下跌日均量≥1.2 +20,675154002.9,22.22222222222222,3.7037037037037033,50.0,33.33333333333333,77.77777777777779,40.092592592592595
19,002415,海康威视,网络安全,33.16,-0.002706766917293324,-0.022653689523037812,-0.03405962848249855,0.25,-0.20597014925373142,-0.03882664966158933,50.0,0.45351354537008903,0.9216213495518496,未触发量价加减分（中性50分）,1946395118.75,44.44444444444444,18.51851851851852,27.77777777777778,29.629629629629626,33.33333333333333,33.24074074074073
20,300634,彩讯股份,网络安全,19.19,0.011064278187565835,-0.08282615712869257,-0.032160702757259574,0.25,-0.3182503770739059,-0.02519557045616172,70.0,0.47512576861093825,1.3834777652933725,近10日上涨日均量/下跌日均量≥1.2 +20,194393746.95,18.51851851851852,22.22222222222222,27.77777777777778,14.814814814814813,77.77777777777779,32.5
21,300768,迪普科技,网络安全,14.87,0.036236933797909376,-0.06671043980831548,0.023322102216287277,0.25,-0.290322580645161,0.008887984259447812,50.0,2.016491607279952,2.09855025966039,近10日上涨日均量/下跌日均量≥1.2 +20；明显放量且上影占振幅至少一半 -20,90136001.25,29.629629629629626,55.55555555555556,27.77777777777778,18.51851851851852,33.33333333333333,30.83333333333333
22,688168,安博通,网络安全,37.35,0.05568117580553977,-0.05155786587332889,0.04859983955736569,0.25,-0.1466809421841544,0.03538608673957344,30.0,2.568450012817568,1.145291395301935,明显放量且上影占振幅至少一半 -20,172495757.0,33.33333333333333,70.37037037037037,27.77777777777778,37.03703703703704,5.555555555555555,30.64814814814815
23,300229,拓尔思,网络安全,13.05,0.01953125,-0.08693055971762587,-0.030317092516037203,0.0,-0.27777777777777785,-0.0297037064574891,70.0,0.8234507783297248,1.817171401160963,近10日上涨日均量/下跌日均量≥1.2 +20,314188217.3,14.814814814814813,29.629629629629626,9.25925925925926,22.22222222222222,77.77777777777779,28.61111111111111
24,300096,易联众,网络安全,8.79,-0.003401360544217802,-0.0727051433887671,-0.06016197309749771,0.25,-0.2559523809523815,-0.032577591899625946,50.0,0.9239520502269575,1.0753572414400263,未触发量价加减分（中性50分）,37813409.35,25.925925925925924,7.4074074074074066,27.77777777777778,25.925925925925924,33.33333333333333,26.01851851851852
25,000938,紫光股份,网络安全,32.73,-0.003349573690621388,-0.1879163298783666,-0.060063123061715684,0.5,-0.38785046728971984,-0.08274364184123872,50.0,0.4432856015076263,1.120195048841747,未触发量价加减分（中性50分）,5852346904.1,3.7037037037037033,11.11111111111111,50.0,11.11111111111111,33.33333333333333,23.055555555555557
26,300166,东方国信,网络安全,12.01,0.00502092050209213,-0.17277269232594727,-0.04169810477484148,0.0,-0.5782881002087679,-0.062231592098071276,50.0,0.5146622570560477,0.9514498272551469,未触发量价加减分（中性50分）,445277139.0,7.4074074074074066,14.814814814814813,9.25925925925926,7.4074074074074066,33.33333333333333,13.796296296296294
27,300738,奥飞数据,网络安全,19.45,0.014606155451225789,-0.1617066875389349,-0.020506742625623908,0.0,-0.6465116279069767,-0.04815503572477253,30.0,0.4753766040163671,0.7709973231022097,近10日下跌日均量占优 -20,716149971.1,11.11111111111111,33.33333333333333,9.25925925925926,3.7037037037037033,5.555555555555555,10.648148148148147
