rank,code,name,role,close_price,daily_return,amount20,relative20,relative5,trend,stability,extension,volume_price,volume_ratio20,up_down_volume_ratio10,volume_price_reasons,relative20_score,relative5_score,trend_score,stability_score,volume_price_score,score
19,601083,锦江航运,航运,12.21,0.016652789342214813,229913866.25,-0.008345179017179238,-0.10960988244825998,0.75,0.16480000000000017,-0.034362766420182655,50.0,0.7684094608668871,1.166567536856893,未触发量价加减分（中性50分）,78.57142857142857,3.571428571428571,28.57142857142857,39.285714285714285,32.142857142857146,43.39285714285714
20,001872,招商港口,港口运营,22.88,-0.019708654670094305,79243156.3,-0.04657736753933328,-0.05460064019400579,0.75,0.1659056316590564,-0.01612556439475399,50.0,0.9375128637104785,1.0679961664272746,未触发量价加减分（中性50分）,57.14285714285714,14.285714285714285,28.57142857142857,42.857142857142854,32.142857142857146,38.57142857142857
21,601880,辽港股份,港口运营,1.47,0.0,110737803.25,-0.0857790985984841,-0.028574801174509168,0.75,0.037037037037037035,0.0037555479685900117,70.0,1.3318686379764304,1.2625567807723963,近10日上涨日均量/下跌日均量≥1.2 +20,17.857142857142858,67.85714285714286,28.57142857142857,25.0,75.0,38.035714285714285
22,001205,盛航股份,航运,14.48,0.0076548364648574285,51407443.65,-0.08441053036831492,-0.04966715708973979,0.75,0.03045685279187839,-0.008558712769599297,70.0,0.923131982570826,1.2997220428968093,近10日上涨日均量/下跌日均量≥1.2 +20,25.0,21.428571428571427,28.57142857142857,21.428571428571427,75.0,35.0
23,601022,宁波远洋,航运,8.41,-0.001187648456057011,82884033.9,-0.07101041429161892,-0.039507302418862134,1.0,0.10160427807486629,0.003639835312369444,0.0,2.1215896048194063,0.8702647604270441,明显放量下跌 -30；明显放量且上影占振幅至少一半 -20,28.57142857142857,28.57142857142857,71.42857142857143,28.57142857142857,5.357142857142857,34.64285714285714
24,601919,中远海控,航运,16.1,-0.005558987029030238,1625365343.25,-0.08460691567334866,-0.035802667237198826,0.75,0.02844638949671786,-0.03125846144589173,50.0,0.7021505844842097,0.8210437312349157,未触发量价加减分（中性50分）,21.428571428571427,46.42857142857143,28.57142857142857,17.857142857142858,32.142857142857146,27.321428571428573
25,000520,凤凰航运,航运,4.22,-0.0023640661938535423,235197269.6,-0.09199828840393665,-0.08099091038757311,0.5,0.0,-0.014824325901716007,70.0,1.0314584281428174,1.2547054027771785,近10日上涨日均量/下跌日均量≥1.2 +20,14.285714285714285,7.142857142857142,12.5,14.285714285714285,75.0,25.267857142857142
26,600428,中远海特,航运,11.34,0.008000000000000007,533797842.05,-0.12887145435707625,-0.042635707136111645,0.5,-0.09448818897637806,-0.011979960792855682,70.0,0.8789220339213027,1.2973779798840737,近10日上涨日均量/下跌日均量≥1.2 +20,7.142857142857142,25.0,12.5,10.714285714285714,75.0,24.375
27,603167,渤海轮渡,航运,8.17,-0.003658536585365746,33637182.3,-0.14436286231374418,-0.03944003857216505,0.0,-0.454545454545454,-0.01956078243129733,70.0,0.7475195217617219,1.2105698845729975,近10日上涨日均量/下跌日均量≥1.2 +20,3.571428571428571,32.142857142857146,3.571428571428571,3.571428571428571,75.0,20.714285714285715
28,600751,海航科技,航运,3.1,0.013071895424836555,80719499.25,-0.12037334189131366,-0.038690472069088044,0.25,-0.1388888888888888,-0.00910979702732928,50.0,1.060052825732221,1.0919614231479984,未触发量价加减分（中性50分）,10.714285714285714,39.285714285714285,7.142857142857142,7.142857142857142,32.142857142857146,16.428571428571427
