,name,open,prev,close,high,upper_limit,time,date
600827,百联股份,7.67,7.64,7.76,7.77,8.4,11:49:24,2026-09-18
600859,王府井,9.56,9.55,9.77,9.81,10.51,11:49:06,2026-09-18
600879,航天电子,14.34,14.26,14.71,14.95,15.69,11:49:06,2026-09-18
600886,国投电力,14.33,14.42,14.41,14.52,15.86,11:49:14,2026-09-18
600893,航发动力,39.51,39.37,39.45,39.82,43.31,11:49:02,2026-09-18
600900,长江电力,28.33,28.46,28.29,28.46,31.31,11:49:02,2026-09-18
600938,中国海油,32.14,32.57,32.31,32.75,35.83,11:48:56,2026-09-18
601012,隆基绿能,11.06,10.99,11.08,11.18,12.09,11:49:19,2026-09-18
601018,宁波港,3.5,3.51,3.45,3.51,3.86,11:49:16,2026-09-18
601066,中信建投,23.36,23.19,23.67,23.74,25.51,11:49:10,2026-09-18
601088,中国神华,46.2,46.48,46.31,46.7,51.13,11:49:07,2026-09-18
601100,恒立液压,94.93,93.49,93.21,95.55,102.84,11:49:07,2026-09-18
601111,中国国航,5.79,5.77,5.84,5.9,6.35,11:49:11,2026-09-18
601156,东航物流,17.98,17.96,18.12,18.21,19.76,11:49:03,2026-09-18
601186,中国铁建,6.0,6.03,6.02,6.04,6.63,11:49:13,2026-09-18
601200,上海环境,6.88,6.86,6.87,6.9,7.55,11:49:23,2026-09-18
601211,国泰海通,17.36,17.32,17.52,17.62,19.05,11:49:18,2026-09-18
601225,陕西煤业,25.35,25.42,25.26,25.49,27.96,11:49:12,2026-09-18
601231,环旭电子,26.87,26.42,26.73,27.11,29.06,11:49:12,2026-09-18
601288,农业银行,6.83,6.89,6.82,6.89,7.58,11:49:22,2026-09-18
601298,青岛港,9.69,9.75,9.72,9.82,10.73,11:48:57,2026-09-18
601318,中国平安,53.32,53.35,53.41,53.8,58.69,11:49:02,2026-09-18
601319,中国人保,7.69,7.69,7.85,7.95,8.46,11:49:13,2026-09-18
601390,中国中铁,4.28,4.28,4.28,4.31,4.71,11:49:08,2026-09-18
601398,工商银行,8.09,8.14,8.09,8.17,8.95,11:49:04,2026-09-18
601600,中国铝业,9.31,9.16,9.28,9.37,10.08,11:49:23,2026-09-18
601601,中国太保,31.85,31.88,32.25,32.49,35.07,11:49:24,2026-09-18
601615,明阳智能,9.53,9.56,9.72,9.85,10.52,11:49:11,2026-09-18
601628,中国人寿,37.11,37.15,37.82,37.84,40.87,11:49:18,2026-09-18
601636,旗滨集团,5.61,5.53,5.54,5.66,6.08,11:49:11,2026-09-18
601668,中国建筑,4.26,4.27,4.26,4.28,4.7,11:49:17,2026-09-18
601669,中国电建,4.6,4.63,4.61,4.65,5.09,11:49:18,2026-09-18
601688,华泰证券,18.21,18.13,18.36,18.41,19.94,11:49:13,2026-09-18
601689,拓普集团,44.62,43.76,45.02,46.8,48.14,11:48:56,2026-09-18
601698,中国卫通,23.63,23.53,24.1,24.23,25.88,11:48:59,2026-09-18
601766,中国中车,5.95,5.95,6.07,6.07,6.55,11:49:07,2026-09-18
601800,中国交建,5.81,5.81,5.82,5.85,6.39,11:49:00,2026-09-18
601857,中国石油,10.53,10.62,10.56,10.63,11.68,11:48:57,2026-09-18
601872,招商轮船,21.61,21.85,22.35,22.9,24.04,11:49:19,2026-09-18
601881,中国银河,11.99,11.95,12.07,12.09,13.15,11:48:59,2026-09-18
601888,中国中免,51.2,51.15,51.6,51.7,56.27,11:49:18,2026-09-18
601899,紫金矿业,31.5,30.9,31.27,31.72,33.99,11:48:59,2026-09-18
601919,中远海控,16.13,16.27,16.12,16.28,17.9,11:49:23,2026-09-18
601939,建设银行,10.84,10.91,10.82,10.94,12.0,11:49:25,2026-09-18
601952,苏垦农发,9.06,9.3,9.45,9.59,10.23,11:48:57,2026-09-18
601988,中国银行,6.55,6.58,6.55,6.64,7.24,11:49:22,2026-09-18
603019,中科曙光,83.49,82.68,84.29,84.35,90.95,11:48:58,2026-09-18
603083,剑桥科技,223.41,219.03,228.68,231.79,240.93,11:48:59,2026-09-18
603128,华贸物流,5.41,5.38,5.38,5.44,5.92,11:49:22,2026-09-18
603218,日月股份,9.26,9.29,9.39,9.49,10.22,11:49:20,2026-09-18
603259,药明康德,161.11,160.49,160.56,164.55,176.54,11:49:19,2026-09-18
603298,杭叉集团,23.8,23.52,23.51,23.8,25.87,11:48:59,2026-09-18
603369,今世缘,27.23,27.31,27.37,27.7,30.04,11:49:21,2026-09-18
603444,吉比特,352.05,352.06,347.05,358.05,387.27,11:49:26,2026-09-18
603596,伯特利,28.6,28.51,28.27,28.8,31.36,11:49:09,2026-09-18
603605,珀莱雅,56.0,55.65,56.09,56.62,61.22,11:49:08,2026-09-18
603678,火炬电子,50.7,50.0,50.87,51.0,55.0,11:49:22,2026-09-18
