date,position,target_weight,actual_weight,market_close,market_ma20,market_risk_ma_period,market_risk_ma,market_defensive_ma_period,market_defensive_ma,market_defensive,market_bear_ma_period,market_bear_ma,market_bear_ma_slope_ref,bear_confirmed,bear_entry_lock,market_above_ma20,regime_state,mainline_rise,mainline_streak,non_mainline_streak,market_below_ma20_streak,market_ma20_exit,position_close,position_ma20,position_ma10,position_daily_return,position_peak_close,position_drawdown,cycle_entry_nav,losing_cycle_streak,position_rs20,position_score,top_candidate,top_rs20,top_score,candidate_count,top_changes_in_window,fast_rotation,effective_switch_margin,switch_confirm_streak,signal,next_position,signal_reason,weak_ma10_streak,post_exit_cooldown_days,position_allocation_mode,daily_gain_pause_threshold,entry_pullback_reclaim_ma5,nav
2024-10-28,大数据,1.0,1.0,3322.198,3216.55795,180,2996.002761111111,,,False,,,,False,False,True,MAINLINE_RISE,True,15,0,0,False,116.674,101.9983,111.39000000000001,0.045878303273692245,116.822,-0.0012668846621355367,600000.0,0,1.6337235353422208,1.6337235353422208,低空经济,2.013251493841714,2.013251493841714,40,0,False,0.07,0,SWITCH,低空经济,STRONGER_RS20_MARGIN_7%,0,2,equal_capital,0.085,False,661483.5305891829
2024-10-29,低空经济,1.0,1.0,3286.407,3237.7219999999998,180,2998.5896222222223,,,False,,,,False,False,True,MAINLINE_RISE,True,16,0,0,False,207.446,140.1944,160.9534,0.047114763366176815,207.446,0.0,600000.0,0,1.9890120426478484,1.9890120426478484,低空经济,1.9890120426478484,1.9890120426478484,36,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,658106.29357798
2024-10-30,低空经济,1.0,1.0,3266.238,3256.2186,180,3000.5903388888887,,,False,,,,False,False,True,MAINLINE_RISE,True,17,0,0,False,225.42400000000006,146.26889999999997,171.4142,0.08666351725268284,225.42400000000006,0.0,600000.0,0,2.1689148882944953,2.1689148882944953,低空经济,2.1689148882944953,2.1689148882944953,26,0,False,0.07,0,SELL,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0,2,equal_capital,0.085,False,694548.9260297213
2024-10-31,现金,0.0,0.0,3279.824,3270.1621499999997,180,3002.6436777777776,,,False,,,,False,False,True,MAINLINE_RISE,True,18,0,0,False,,,,,,,,0,,,低空经济,2.2065716266087185,2.2065716266087185,21,0,False,0.07,0,BUY,低空经济,ENTRY_TOP1,0,2,equal_capital,0.085,False,708017.1458372119
2024-11-01,低空经济,1.0,1.0,3272.014,3279.3864000000003,180,3004.802888888889,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,1,1,False,216.23600000000002,157.81810000000002,190.2454,-0.08210444099194303,216.23600000000002,0.0,708017.1458372119,0,1.8956762632815518,1.8956762632815518,低空经济,1.8956762632815518,1.8956762632815518,12,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,689305.1653344126
2024-11-04,低空经济,1.0,1.0,3310.207,3278.0719,180,3007.4677777777783,,,False,,,,False,False,True,MAINLINE_RISE,True,1,0,0,False,201.952,161.721,195.71620000000001,-0.06605745574279964,216.23600000000002,-0.06605745574279964,708017.1458372119,0,1.6300385813679434,1.6300385813679434,低空经济,1.6300385813679434,1.6300385813679434,7,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,704504.2481211207
2024-11-05,低空经济,1.0,1.0,3386.987,3272.9325,180,3010.7924388888887,,,False,,,,False,False,True,MAINLINE_RISE,True,2,0,0,False,209.95,165.4477,200.9296,0.03960347013151644,216.23600000000002,-0.029070090086757205,708017.1458372119,0,1.5504076327760383,1.5504076327760383,低空经济,1.5504076327760383,1.5504076327760383,4,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,729906.906459314
2024-11-06,低空经济,1.0,1.0,3383.806,3279.1799,180,3014.198361111111,,,False,,,,False,False,True,MAINLINE_RISE,True,3,0,0,False,210.852,169.64960000000002,205.72840000000002,0.004296261014527403,216.23600000000002,-0.024898721766958398,708017.1458372119,0,1.6626870850221585,1.6626870850221585,低空经济,1.6626870850221585,1.6626870850221585,12,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,731121.2717849844
2024-11-07,低空经济,1.0,1.0,3470.661,3287.61665,180,3018.3123,,,False,,,,False,False,True,MAINLINE_RISE,True,4,0,0,False,193.008,173.0897,208.1036,-0.0846280803596835,216.23600000000002,-0.10741967110009443,708017.1458372119,0,1.553934592531762,1.553934592531762,稀土永磁,1.2981484632399576,1.2981484632399576,17,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,1,2,equal_capital,0.085,False,698154.7969209653
2024-11-08,低空经济,1.0,1.0,3452.297,3299.3446000000004,180,3022.479588888889,,,False,,,,False,False,True,MAINLINE_RISE,True,5,0,0,False,198.74200000000002,177.24020000000002,209.73000000000002,0.029708613114482363,216.23600000000002,-0.08090234743520963,708017.1458372119,0,1.7172605675180592,1.7172605675180592,国产算力,1.4261053056918052,1.4261053056918052,28,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,2,2,equal_capital,0.085,False,716079.0100873813
