signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2025-12-17,2025-12-18,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1605174.4361361794,-0.00638151081223548,2.0
2025-12-19,2025-12-22,BUY,商业航天,,商业航天,1.485014761578147,1.485014761578147,ENTRY_TOP1,1.0,1605174.4361361794,,
2025-12-25,2025-12-26,SELL,商业航天,商业航天,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1717121.0336194057,0.06974107920176786,0.0
2025-12-26,2025-12-29,BUY,商业航天,,商业航天,1.6970087314960518,1.6970087314960518,ENTRY_TOP1,1.0,1717121.0336194057,,
2025-12-31,2026-01-05,SELL,商业航天,商业航天,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2066813.9186486823,0.20365069100119415,0.0
2026-01-05,2026-01-06,BUY,商业航天,,商业航天,1.8931170762247616,1.8931170762247616,ENTRY_TOP1,1.0,2066813.9186486823,,
2026-01-12,2026-01-13,SELL,商业航天,商业航天,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2792987.7007391136,0.3513493767088698,0.0
2026-01-13,2026-01-14,BUY,商业航天,,商业航天,2.086098587575501,2.086098587575501,ENTRY_TOP1,1.0,2792987.7007391136,,
2026-01-23,2026-01-26,SELL,商业航天,商业航天,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2519899.789899882,-0.09777626688687668,1.0
2026-01-26,2026-01-27,BUY,黄金概念,,黄金概念,1.4348196105377957,1.4348196105377957,ENTRY_TOP1,1.0,2519899.789899882,,
2026-01-28,2026-01-29,SELL,黄金概念,黄金概念,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2944228.6897511967,0.16839118029696487,0.0
2026-01-29,2026-01-30,BUY,黄金概念,,黄金概念,1.6029028656494233,1.6029028656494233,ENTRY_TOP1,1.0,2944228.6897511967,,
2026-02-04,2026-02-05,SELL,黄金概念,黄金概念,,,,DOUBLE_MA20_BREAK,0.0,2537430.1678289482,-0.13816811287054775,1.0
2026-02-09,2026-02-10,BUY,光纤概念,,光纤概念,1.2647130813162906,1.2647130813162906,ENTRY_TOP1,1.0,2537430.1678289482,,
2026-03-10,2026-03-11,SELL,光纤概念,光纤概念,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,3187199.5618464877,0.25607380343140207,0.0
2026-03-11,2026-03-12,BUY,光纤概念,,光纤概念,1.3470600103118204,1.3470600103118204,ENTRY_TOP1,1.0,3187199.5618464877,,
2026-03-17,2026-03-18,SELL,光纤概念,光纤概念,,,,DOUBLE_MA20_BREAK,0.0,2822641.92073814,-0.11438180573077861,1.0
2026-04-08,2026-04-09,BUY,CPO,,CPO,1.1758901255309937,1.1758901255309937,ENTRY_TOP1,1.0,2822641.92073814,,
2026-04-22,2026-04-23,SWITCH,光纤概念,CPO,光纤概念,1.468649287743855,1.468649287743855,STRONGER_RS20_MARGIN_7%,1.0,3655951.493696795,,
2026-05-25,2026-05-26,SWITCH,被动元件,光纤概念,被动元件,1.57013069672953,1.57013069672953,STRONGER_RS20_MARGIN_7%,1.0,4598929.979379553,,
2026-06-09,2026-06-10,SELL,被动元件,被动元件,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,6458102.1209812565,1.2879636533182426,0.0
2026-06-15,2026-06-16,BUY,被动元件,,被动元件,1.8944961489088576,1.8944961489088576,ENTRY_TOP1,1.0,6458102.1209812565,,
2026-06-25,2026-06-26,SELL,被动元件,被动元件,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,7549329.863135804,0.16897034480290074,0.0
2026-06-29,2026-06-30,BUY,存储,,存储,1.6574679828525916,1.6574679828525916,ENTRY_TOP1,1.0,7549329.863135804,,
2026-07-08,2026-07-09,SELL,存储,存储,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,6545229.4382134015,-0.13300523928958707,1.0
2026-08-11,2026-08-12,BUY,黄金概念,,黄金概念,1.198634275545255,1.198634275545255,ENTRY_TOP1,1.0,6545229.4382134015,,
2026-08-28,2026-08-31,SWITCH,液冷,黄金概念,液冷,1.3324612577935488,1.3324612577935488,STRONGER_RS20_MARGIN_7%,1.0,6777541.6551208915,,
2026-09-09,2026-09-10,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,6977314.086244481,0.06601520269227135,0.0
2026-09-21,2026-09-22,BUY,网络安全,,网络安全,1.2006090422115636,1.2006090422115636,ENTRY_TOP1,1.0,6977314.086244481,,
